canonical_url,date_published,domain,from_user_botscore,from_user_id,from_user_screen_name,id,is_mention,original_query,pub_date,site_domain,site_type,title,to_user_botscore,to_user_id,to_user_screen_name,tweet_created_at,tweet_id,tweet_type,tweet_url,url_id,url_raw
,2019-07-17T03:51:01Z,,0.267344,59870182,kennydeluxe,,false,query=%23RickySeQueda&sort=recent&type=Twitter,2019-07-17T03:51:01Z,,claim,,0.0562449,895733380704350208,_jofenetti_,2019-07-17T03:51:01Z,1151338489608380422,retweet,https://twitter.com/kennydeluxe/status/1151338489608380422,,
,2019-07-17T03:51:02Z,,0.128516,2947439652,maldonadolamboy,,false,query=%23RickySeQueda&sort=recent&type=Twitter,2019-07-17T03:51:02Z,,claim,,0.5565870373496533,1127456421090668544,Bayon_51,2019-07-17T03:51:02Z,1151338495216115717,retweet,https://twitter.com/maldonadolamboy/status/1151338495216115717,,
,2019-07-17T03:53:40Z,,0.0323988,58523230,agonzsls_,,false,query=%23RickySeQueda&sort=recent&type=Twitter,2019-07-17T03:53:40Z,,claim,,,1009939300199419904,Pseudokind,2019-07-17T03:53:40Z,1151339158465650688,retweet,https://twitter.com/agonzsls_/status/1151339158465650688,,
,2019-07-17T03:53:46Z,,0.0379801,1580784115,alondramlln,,false,query=%23RickySeQueda&sort=recent&type=Twitter,2019-07-17T03:53:46Z,,claim,,0.170132,737090531696611328,jorangelyy,2019-07-17T03:53:46Z,1151339180162609155,retweet,https://twitter.com/alondramlln/status/1151339180162609155,,
,2019-07-17T03:53:49Z,,0.28378247513569405,4677814688,wanderlusthot,,false,query=%23RickySeQueda&sort=recent&type=Twitter,2019-07-17T03:53:49Z,,claim,,0.0323988,485287379,dimemilette,2019-07-17T03:53:49Z,1151339193194418176,retweet,https://twitter.com/wanderlusthot/status/1151339193194418176,,
,2019-07-17T03:54:34Z,,0.158817,986837094369824769,pdcontingencia,,false,query=%23RickySeQueda&sort=recent&type=Twitter,2019-07-17T03:54:34Z,,claim,,0.158817,360974798,JudioEspiritual,2019-07-17T03:54:34Z,1151339383481667586,quote,https://twitter.com/pdcontingencia/status/1151339383481667586,,
,2019-07-17T03:54:34Z,,0.158817,360974798,JudioEspiritual,,true,query=%23RickySeQueda&sort=recent&type=Twitter,2019-07-17T03:54:34Z,,claim,,0.0607801,80013913,ricardorossello,2019-07-17T03:54:34Z,1151339383481667586,mention,https://twitter.com/JudioEspiritual/status/1151339383481667586,,
,2019-07-17T03:55:12Z,,0.28378247513569405,4677814688,wanderlusthot,,false,query=%23RickySeQueda&sort=recent&type=Twitter,2019-07-17T03:55:12Z,,claim,,0.0607801,750129438222786560,Borikenger,2019-07-17T03:55:12Z,1151339542961692672,retweet,https://twitter.com/wanderlusthot/status/1151339542961692672,,
,2019-07-17T03:55:45Z,,0.0323988,58523230,agonzsls_,,false,query=%23RickySeQueda&sort=recent&type=Twitter,2019-07-17T03:55:45Z,,claim,,0.0411067,1594682113,bvanelys,2019-07-17T03:55:45Z,1151339681889624064,retweet,https://twitter.com/agonzsls_/status/1151339681889624064,,
,2019-07-17T03:55:46Z,,0.0765131,54259778,SherRose29,,false,query=%23RickySeQueda&sort=recent&type=Twitter,2019-07-17T03:55:46Z,,claim,,0.0379801,3588505757,gvbo15,2019-07-17T03:55:46Z,1151339686956359680,retweet,https://twitter.com/SherRose29/status/1151339686956359680,,
,2019-07-17T03:57:11Z,,0.0323988,58523230,agonzsls_,,false,query=%23RickySeQueda&sort=recent&type=Twitter,2019-07-17T03:57:11Z,,claim,,,906714234,_mwezii,2019-07-17T03:57:11Z,1151340042926927872,retweet,https://twitter.com/agonzsls_/status/1151340042926927872,,
,2019-07-17T03:57:16Z,,0.267344,59870182,kennydeluxe,,false,query=%23RickySeQueda&sort=recent&type=Twitter,2019-07-17T03:57:16Z,,claim,,0.194668,721905529073709056,Vamplvr21,2019-07-17T03:57:16Z,1151340062967259137,retweet,https://twitter.com/kennydeluxe/status/1151340062967259137,,
